,cluster,id,text
0,0,3850,本文讲述了陈泊的一生，他是中共一位忠诚的干部，但在革命成功后，却因政治斗争而被陷害。陈泊的悲剧反映了中共内部的政治斗争和对忠诚干部的背叛。最后，陈泊的冤屈得到平反，但他的生命已经消逝。
1,0,5518,中共当局在台风暴雨期间，未提前转移灾民，导致大量人员伤亡和财产损失。中共应承担全部责任。中共在灾后赔偿中表现吝啬，民众不应接受。中共应停止暴力行为，尊重民众权益。最终，民众应联合起来，推翻中共邪恶政权。
2,0,5995,文作者经历了中国网络言论受限、人权律师被打压的时期。作者参与了王全平律师的行政诉讼代理，见识了葛永喜律师的强大法律技能和勇气。作者与葛律师成为好友，加入捍卫律师权益大群，找到精神家园。作者结识了许多律师朋友，参加聚会，共同批评时政、讨论案件、交流信息。
3,0,3798,小雨濒临脑死亡，因签署器官捐献协议书得以救回，揭示捐献器官可获更好救治。脑死亡患者家属面临经济压力，同意捐献器官可减轻费用负担。脑死亡患者家属在救治与捐献之间纠结，捐献器官可救他人，但也可能失去亲人。中国脑死亡患者家庭因巨额医疗费用而选择捐献器官，权贵则有机会接受器官移植。
4,0,1007,中央一专办非法抓人，导致林兴被监禁，江楠被下放农村。江楠因受母亲案牵连自杀，但案件至今未得到彻底解决。周恩来以权谋私，为康生、江青报私仇，导致林家遭受迫害。文革期间，一专办利用工宣队残害知识分子，制造了大量冤案。历史真相被掩盖，恶人仍逍遥法外，需要揭露和谴责。
5,1,3563,疫情对中国社会造成严重冲击，医院、殡葬行业挤兑现象普遍。通过追踪殡葬行业火化人数，推算本轮疫情大致规模。哈尔滨小城市数据具有代表性，推算全国本轮疫情死亡人数约为760万。北京殡仪馆数据推算，全国本轮疫情死亡人数约为18.14万。奥密克戎致死率偏低，但中国死亡率高达0.54%，远超美国。中共隐瞒疫情死亡人数，民众仍处被欺骗状态。
6,1,6134,网传李克强丧事从简，限制参加人员，引发对北京恐惧原因的猜测。李克强被视为悬在习近平头上的达摩克利斯之剑，因可能成为反习领袖。民众以悼念李克强名义走上街头，表达反对世道不公的情绪。人们并非怀念李克强本人，而是痛恨社会不公，被称为“李克强的勇气被低估了”。中共权力斗争呈现逆淘汰现象，高尚者失败，卑鄙者成功。
7,1,6558,中共改革开放已不可能，体制需改革，外资态度转变，外国人看清中共。习近平公开羞辱李强，总理与香港特首同场做笔记，引发网友讨论。甘肃地震导致大量死亡，网友呼吁皇帝下罪己诏。中共官员作秀扫雪被嘲讽，网友称他们是影帝。江西2.2亿大奖成国际新闻，人工智能计算概率引发关注。一篇关于一家三代送外卖的文章被删，反映阶层固化问题。
8,1,2076,英国2021年上半年新冠疫苗接种大数据揭示，新冠疫苗促进感染、重症和死亡。疫苗有效率基于死亡率计算，但英国数据库凭空给出的死亡率严重造假，偏向疫苗。数学模型验证，当A/B波动范围小于10点时，整体值和均值接近重合，可以用整体值计算死亡率。英国2021年第1-10周死亡率大降，是疫情退潮特性决定，与新冠疫苗无关。疫苗有效率基于死亡率计算，英国数据库凭空给出的涉假死亡率诱生了假有效率。
9,1,174,中共官员贪污严重，腐败问题突出。官员陈刚私家园林、豪宅被曝光，引发舆论谴责。核酸检测造假，疫情管控不力。盒马超市被罚，民生问题引发关注。河南郸城县长恶意返乡言论，引发民众抗议。北京养老服务时间银行，压力重重。岳某北京奔波打工，生活艰辛。寻子京城的岳某，遭遇不公平待遇。民意调查虚假，政府信任度争议。邮件冻链甩锅，病毒溯源争议。
10,2,1767,独裁政府宣传掩盖真相。爱国不等于爱政府。去私有化等于剥夺生命财产。禁止个人思想导致独裁。政治偶像崇拜破坏真理。独裁政府科技治国如监狱。未实现真普选皆为非法。法律掺杂人情失去效力。知识产权保护偷窃技术。内卷化如监狱管理模式。集体主义最终满足领袖一人。外汇管制货币如废纸。无条件服从领袖如全民军事化。独裁政府监督人民为保卫。向人民开枪的军队为雇佣兵。真理为金钱标准。利润最大化不择手段。构建人类命运共同体。独裁者反腐消灭政敌。不忘初心为土匪出身。幸福为奋斗而来。消灭私有制产生更大私有制。民族复兴为封建王朝。独裁者欺骗人民。爱国教育格式化思维。绿水青山变成赚钱工具。环保成为隐蔽污染。共产党培养科学家造假。独裁者不信任自己政府。好战政府使用战斗语言。合作者为反人类帮凶。独裁政府为侵略做准备。民营经济发展为独裁者所有。共产党每个时期都有精神病形象。独裁政府成功标准为权力。
11,2,908,批评本性假恶斗、最酷谎骗煽等政治现象。描述伪政七十载，党史改几遍的历史背景。强调中华儿女在水火中的困境和无辜受害。批判红祸、中华巨难等严重的社会问题。描述改革开放后的黄赌毒、跑马圈地等现象。指出官商勾结、党官巨贪等腐败现象。描述强拆强迁、军警实弹等暴力行为。提及红朝遍地铁链女、人贩子裤裆连等社会问题。描述维民关进集中营、藏民灭教毒等手段。批评打压正信害法徒，活人开膛卖器官等行为。描述酷刑百种人发指，死伤无数的好凄惨。批评女徒扒光投男牢，强奸轮奸绝人寰的现象。指出国际树敌万国恨，国内高压禁直言等问题。描述工厂倒闭失业潮，经济滑坡命脉断的现象。批评惹火烧身啥滋味，两手鸡毛苦难言的行为。描述俄乌战争站错队，是进是退两为难的问题。指出当权一夜愁白头，风急浪涌要沉船的危机。认为赤梦已破党休矣，百年寿终败象显的事实。呼吁智者三退大潮涌，消灾免难保平安的行动。主张邪党亡时不陪葬，大法救众启渡船的立场。
12,2,2518,欧洲通过限制消费者成本和补贴电力公司来保护公民免受能源成本飙升的影响。欧盟将通过对能源生产商征收超额利润税并将俄罗斯在欧洲的能源资产国有化来抵消部分成本。俄罗斯天然气不仅是欧洲发电和供热的主要来源，也是核心工业部门和数千种次级产品的基础。高昂的能源和原材料成本将削弱欧洲工业基础，但欧洲基本实现能源自给自足前，欧洲经济的很大一部分将缺乏全球竞争力。欧洲央行推行紧缩货币政策的同时，欧盟成员国还能发行数万亿欧元的新债吗？其中必须要有取舍。俄罗斯与欧盟经济关系破裂的责任完全在俄罗斯总统弗拉基米尔‧普京身上。北约与俄罗斯军事实力的退化，俄罗斯军事力量、人员和装备的伤亡，以及俄罗斯军事理论自冷战甚至第二次世界大战结束以来的几乎没有发展。俄罗斯成为中共的附庸，但能源和食品价格的上涨对中国经济产生了负面影响。北京在东亚的过度侵略性使得美国对中共实施新的经济制裁，可能导致中美经济脱钩。
13,2,3309,西来马列祸中华 - 马列主义对中国的影响。土改文革大屠杀 - 土地改革和文化大革命带来的灾难。上山下乡毁青年 - 上山下乡政策对青年的影响。六四开枪坦克压 - 六四事件中的暴力镇压。共产邪灵贪权色 - 共产主义制度下的腐败现象。教改医改更腐化 - 教育改革和医疗改革的腐败问题。封网禁言掩真相 - 对网络言论的控制和信息隐瞒。毒粮毒奶结石娃 - 食品安全问题对儿童的影响。急功近利害子孙 - 急功近利的政策对后代的影响。江河断流雾霾撒 - 水资源短缺和空气污染问题。一党独裁无法制 - 一党制的政治体制问题。中共画皮万人骂 - 中国共产党被广泛批评。迫害佛法法轮功 - 对法轮功的迫害和打压。酷刑毒打逼转化 - 对法轮功成员的使用酷刑和逼迫改宗。众生觉醒拒为奴 - 人们开始觉醒，拒绝成为奴隶。退党团队邪党垮 - 退出党的团队导致邪党垮台。
14,2,3459,中共实现三大垄断，即垄断“真理”，垄断权力，垄断经济。中共军队姓党，政府姓党，人大姓党，政协姓党，公检法姓党，媒体姓党，企业姓党，少先队姓党，共青团姓党，妇联姓党，幼儿园、小学、中学、大学都姓党，甚至连宗教也信党。中共统治下的中国，中共的权力不时不在，无处不在。与天斗的中共，成为人类有史以来从未有过的“万能党”，“极权党”。党主一切靠“枪杆子”（军队）、“刀把子”（政法）对着人民，靠“笔杆子”（宣传）欺骗人民，一高压，二欺骗，将中国人民的“信仰自由、言论自由、免于恐惧的自由、免于匮乏的自由”剥夺殆尽。世风日下，道德沦丧，拜金主义、拜权主义盛行。有钱能使鬼推磨，有权能使磨推鬼。中共610办公室是一个超越宪法和法律的法外机构，操纵公、检、法、司，以超越一切道德和法律底线的方式，实施对法轮功的迫害。中共好大喜功，急功近利，狂言“敢叫日月换新天”，“让高山低头，令河水倒流”，将中华民族的母亲河——长江、黄河，拦腰斩断。中共当政73年，对中国生态环境的破坏，超过了过去几千年。中国的空气污染、水源污染、土地污染、食品污染，皆堪称世界第一。中共是全世界杀人最多的党，欠血债最多的党，超过了古今中外所有暴君。中共利用西方对中共可能通过“改革开放”走向“自由民主”抱有的幻想，利用金钱、美色、物欲，对西方社会进行无孔不入的渗透，导致西方许多国家领导人对中共大搞“绥靖政策”。
15,3,3529,高占祥去世引发人体器官移植争议。胡鑫宇失踪案引发器官移植猜测。中国器官移植与活摘人体器官紧密相关。政府批准和支持活摘人体器官，形成巨大收入的器官移植产业。高官换器官引发公众关注，失踪青少年器官来源成谜。
16,3,293,董某民涉嫌强奸、虐待罪，应立即立案侦查。徐州报告自相矛盾，“云南省福贡县亚谷村”身份信息不可信。桑某某陈述违背常识，不应采信。董某民及其父亲构成拐卖妇女罪、强奸罪，应立案侦查。徐州第一次发布称杨某侠无法做节育手术，应同时为董某民做节育手术。
17,3,3492,中共疫情混乱，死亡人数众多，制度反人类。中共拒绝外援，歌舞升平，掩盖现实。中共病毒吞噬邪党党徒，法轮功大师预言应验。中共是疫情最大祸乱之源，必须认清并退出。
18,3,6189,央视媒体人因抹黑法轮功遭恶报。法轮功因被抹黑而遭受迫害。中共政府镇压宗教信仰群体。法轮功信徒因信仰而被迫害。媒体在法轮功迫害中起到破坏作用。
19,3,5535,中共核潜艇在台湾附近发生事故，引发关注。中共极力否认，认为谣言。网友认为，中共官媒谎话连篇，不应采信。海外媒体引用内部消息，证实事故属实。中共国防部未出面辟谣，引起猜测。
20,4,5759,东盟首次在南中国海举行联合军演，显示东盟国家在南海问题上的共同立场和对中共的反制能力。东盟国家在经济上依赖中国，但在安全上依赖美国，面临中美之间的极端战略竞争。随着中国经济风雨飘摇，中共对东盟国家的经济利诱力度可能减弱。美国加大对东盟的支持力度，与东盟国家的军演增多、规模扩大，增强对东盟国家的支持力度。日本、印度、澳大利亚、欧盟等也在支持东盟，共同应对中共的强势行径。
21,4,6464,中共政治局会议要求改善社会预期，但目前社会预期不佳，主要原因是中国经济复苏无望。为改善社会预期，中共采取的措施是加强经济宣传和舆论引导，而非刺激经济复苏。金融专家刘纪鹏因批评股市和经济被全网禁言，显示中共采取“解决不了问题，就解决提出问题的人”的策略。禁言刘纪鹏等财经大V，无法改善社会预期，反而加剧民众对社会预期的担忧。
22,4,4777,发达民主国家G7峰会发布强硬公报，谴责北京政权对俄入侵乌克兰的态度，涉及台湾、西藏等问题。七国集团表示将寻求与中国合作，但同时暗示北京不会提供合作机会。七国集团公报强调抵制中国经济“脱钩”，寻求供应链多元化，以应对中共扭曲全球经济和非市场政策。七国集团坚决反对北京侵犯他国在东海和南海的主权，关注西藏、新疆的人权问题。七国集团呼吁中国遵守外交公约，尊重主权国家领土完整，支持乌克兰和平解决。
23,4,6009,南海争端：中共与菲律宾较劲，但双方差距甚大，东盟不希望“南中国海行为准则”只是一份文件。中国-东盟自贸区：中共利用经济利诱，进行分化策略。3.0版升级谈判旨在加强与中国及日、韩、澳、新等国的经济联系。美国与东盟经济合作：拜登提出印度-太平洋经济框架（IPEF），限制中共对东盟的经济影响力。南中国海行为准则谈判：中共不愿包含争端解决机制，拒绝接受2016年南中国海仲裁案裁决。中国-东盟自贸区3.0版升级谈判：中共寻求主导亚太经济板块，与美国、欧盟三足鼎立。
24,4,5593,中共经济模式导致生产要素利用效率低下，浪费和欺诈现象严重。中共过度使用生产要素，导致资源配置低效，损害创新和创造力。中共压制创新和创造力，扼杀中产阶级的成长，削弱国家潜力。法规标准执行不力，影响民生安全和执政党权威。中共依赖过度发展和债务驱动，导致环境恶化和社会动荡。中共治理下的环境污染引发社会动荡，影响国家生存和发展。年轻一代对中共失去信心，导致人口减少和消费下降，影响经济发展。
25,5,3757,辽宁省法轮功学员遭受严重迫害，展示中共对法轮功二十三年的迫害。法轮功学员被绑架、骚扰、非法判刑、含冤离世，人权受到严重侵犯。辽宁省法轮功学员的血泪控诉是一个铁证，显示中共对法轮功的迫害残酷无情。关注法轮功学员悲惨遭遇，关注人权恶化，帮助中国人民摆脱迫害。解散中共，结束迫害，恢复自由、平安与尊严，是中国人民的期望。
26,5,4375,法轮功学员因修炼法轮功而被判刑，迫害严重。2023年，共有342名法轮功学员被非法判刑，其中包括老年人。中共法院、公安敲诈勒索法轮功学员现金。法轮功学员遭受绑架、非法关押等迫害，生活悲惨。法轮功学员被非法判刑人数逐年增加，迫害严重。美国国际宗教自由委员会将中共列为“特别关注国”。呼吁中共停止迫害法轮功，解散中共，恢复人权。
27,5,935,2022年初至三月份，44名法轮功学员被迫害离世，239人被非法判刑。2022年，782名法轮功学员被绑架和骚扰，案例包括家庭暴力、非法关押等。法轮功学员遭受长期迫害，包括非法判刑、绑架、骚扰等，引发国际关注。美国国会及行政当局中国委员会（CECC）呼吁美国国会和行政官员敦促中共保障信仰自由，尊重法轮功学员权利。中共迫害法轮功已达22年，天灭中共的日子将到来，呼吁中共官员停止迫害，悔过自新。
28,5,6989,大庆市法轮功学员遭受残酷迫害，包括被判刑、入狱迫害、暴力转化、酷刑折磨等。黑龙江省是全国迫害法轮功最严重的省份之一，大庆市是黑龙江省迫害最严重地区。法轮功学员遭受人格侮辱、酷刑折磨，甚至被狱中虐杀、致残、含冤离世。中共违背天理、颠倒是非正邪、枉法操作，对法轮功学员进行一场残酷的迫害。大陆法轮功学员的悲惨遭遇引发关注，呼吁解除中共对法轮功学员的迫害，结束暴政。
29,5,4721,法轮功学员郭金香、庆秀英等遭受严重迫害，精神失常或患病。中共对法轮功学员迫害引发国际关注，美国国务院报告称172名法轮功学员被迫害致死。中共关押大量法轮功学员，包括2102名法轮功学员被判刑，2649名行使宗教或信仰自由权利的人中被关押。中共当局对法轮功学员进行殴打、虐待、绝食抗议等暴力行为，导致多人死亡。美国等国际社会呼吁停止对法轮功学员的迫害，希望中共悔过自新，结束迫害。
